Title,Duration,Watch with Mike,Mike rec,My choice,Watched,Chest
And The Pursuit Of Happiness,1h 18m,,,,,
And Then We Danced,1h 53m,,,,,
Andrei Rublev,2h 54m,,,,,
Angels Of Evil,2h 5m,,,,,
Animals,1h 49m,,,,,
Anomalisa,1h 30m,,,,Y,
Anonymous Club,1h 26m,,,,,
Another Man's Poison,1h 30m,,,,,
Another Round,1h 56m,,,,,
Anselm,1h 33m,,,,,
Antichrist,1h 48m,,,,,
Apostasy,1h 30m,,,,,
Apples,1h 31m,,,,,
Appropriate Behaviour,1h 26m,,,,,
Archipelago,1h 54m,,,,,
Ariel,1h 13m,,,,,
Arkansas,1h 55m,,,,,
Armstrong,1h 40m,,,,,
The Artist's Wife,1h 34m,,,,,
Ash Is Purest White,2h 15m,,,,,
Asia,1h 25m,,,,,
Assassins,1h 44m,,,,,
The Assistant,1h 28m,,,,,
At Eternity's Gate,1h 51m,,,,,
Attenberg,1h 32m,,,,,
Au Revoir Les Enfants,1h 44m,,,,,
Audition,1h 55m,,,,,
The Audition,1h 39m,,,,,
The Arbor,1h 30m,,,,,
The Auschwitz Escape,1h 34m,,,,,
The Australian Dream,1h 45m,,,,,
Autobiography Of A Princess,58m,,,,,
Autumn Almanac,1h 59m,,,,,
Away,1h 15m,,,,,
Azor,1h 40m,,,,,
The Babadook,1h 29m,,,,,
Babette's Feast,1h 42m,,,,,
Baby Done,1h 31m,,,,,
Babylon,3h 9m,,,,Y,
Babyteeth,1h 58m,,,,,
Bacurau,2h 11m,,,,,
Bad Education,1h 49m,,,,,
The Bad Lieutenant: Port Of Call New Orleans,2h 2m,,,,,
Bad Luck Banging or Loony Porn,1h 46m,,,,,
Bait,1h 29m,,,,,
The Banishment,2h 34m,,,,,
A Banquet,1h 37m,,,,,
Barbara,1h 43m,,,,,
Barbie,1h 54m,,,,Y,
Barking Dogs Never Bite,1h 50m,,,,,
Basic Instinct,2h 8m,,,,,
Bastards,1h 40m,,,,,
Battle Royale,1h 52m,,,,,
A Bay Of Blood,1h 24m,,,,,
Be Natural: The Untold Story Of Alice Guy-Blaché,1h 43m,,,,,
Beach Rats,1h 34m,,,,,
Beast (2018),1h 42m,,,,Y,
The Beasts,2h 17m,,,,,
Beasts Clawing At Straws,1h 48m,,,,,
The Beat That My Heart Skipped,1h 48m,,,,,
Beats,1h 41m,,,,,
Bedelia,1h 30m,,,,,
Being a Human Person,1h 30m,,,,,
La Belle Noiseuse,3h 58m,,,,,
Belleville Rendezvous,1h 18m,,,,Y,
Beloved,2h 15m,,,,,
Bend It Like Beckham,1h 52m,,,,,
Benedetta,2h 12m,,,,,
Benediction,2h 17m,,,,,
Benjamin,1h 25m,,,,,
Benny's Video,1h 49m,,,,,
Berberian Sound Studio,1h 32m,,,,,
Bergman Island,1h 52m,,,,,
Berlin Syndrome,1h 56m,,,,,
The Beta Test,1h 33m,,,,,
Between Two Worlds,1h 47m,,,,,
Beware Of Mr. Baker,1h 32m,,,,,
Beyond The Hills,2h 30m,,,,,
Beyond The Reach,1h 31m,,,,,
Beyond the Visible - Hilma af Klint,1h 33m,,,,,
Bicycle Thieves,1h 33m,,,,,
A Bigger Splash,2h 4m,,,,,
The Big Hit,1h 45m,,,,,
The Big Picture,1h 55m,,,,,
Billie,1h 38m,,,,,
Birds Of Passage,2h 5m,,,,,
Black Bear,1h 44m,,,,,
"Black Cat, White Cat",2h 7m,,,,,
Black Moon,1h 36m,,,,,
Black Sunday,1h 22m,,,,,
BlackBerry,1h 59m,,,,,
Blackbird,1h 47m,,,,,
Blackthorn,1h 38m,,,,,
Blade Of The Immortal,2h 21m,,,,,
The Blair Witch Project,1h 21m,,,,,
Blind Ambition,1h 34m,,,,,
"Blind Willow, Sleeping Woman",1h 48m,,,,,
Blindspotting,1h 31m,,,,,
The Bling Ring,1h 28m,,,,Y,
Bliss,1h 31m,,,,,
Blood Simple,1h 39m,,,,,
"Bloody Nose, Empty Pockets",1h 38m,,,,,
Blue Bag Life,1h 30m,,,,,
Blue Is The Warmest Colour,3h 0m,,,,Y,
The Blue Caftan,2h 2m,,,,,
Blue Jean,1h 37m,,,,,
Blue Valentine,1h 52m,,,,,
Boiling Point (1990),1h 36m,,,,,
Boiling Point (2022),1h 35m,,,,,
Bolshoi Babylon,1h 27m,,,,,
Bombshell,1h 49m,,,,,
Bombshell: The Hedy Lamarr Story,1h 28m,,,,,
The Bookshop,1h 53m,,,,,
Boom For Real: The Late Teenage Years Of Jean-Michel Basquiat,1h 18m,,,,,
Borg Vs Mcenroe,1h 40m,,,,,
The Boss of It All,1h 39m,,,,,
The Bostonians,2h 2m,,,,,
Both Sides of the Blade,1h 56m,,,,,
Boy,1h 27m,,,,,
Boy Meets Girl,1h 40m,,,,,
Brainwashed: Sex-Camera-Power,1h 48m,,,,,
Bread And Roses,1h 45m,,,,,
Breaking the Waves,2h 39m,,,,,
Breathe In,1h 38m,,,,,
Broken Embraces,2h 5m,,,,,
Bronson,1h 32m,,,,,
Brooklyn,1h 49m,,,,,
Brother,2h 0m,,,,,
Buena Vista Social Club,1h 40m,,,,,
Bug,1h 42m,,,,,
Burning,2h 28m,,,,,
Burning An Illusion,1h 46m,,,,,
The Burning,1h 38m,,,,,
Buster Keaton Shorts Vol 1,1h 12m,,,,,
Buster Keaton Shorts Vol 2,1h 8m,,,,,
Buster Keaton Shorts Vol 3,1h 12m,,,,,
By The Grace Of God,2h 18m,,,,,
Bye Bye Morons,1h 28m,,,,,
Cairo Conspiracy,2h 1m,,,,,
Calamari Union,1h 20m,,,,,
Calcutta,1h 40m,,,,,
Calendar,1h 14m,,,,,
Call Girl,2h 20m,,,,,
Calm With Horses,1h 41m,,,,,
Camille Claudel 1915,1h 35m,,,,,
Cannibal Holocaust,1h 35m,,,,,
Capernaum,2h 6m,,,,,
The Capote Tapes,1h 38m,,,,,
Caravaggio,1h 33m,,,,,
Career Girls,1h 27m,,,,,
Carol,1h 58m,,,,,
Cartel Land,1h 40m,,,,,
Casablanca Beats,1h 42m,,,,,
Cast A Dark Shadow,1h 22m,,,,,
The Castle,2h 3m,,,,,
Cat Person,1h 58m,,,,,
Catch Me If You Can,2h 21m,,,,,
Cemetery Of Splendour,2h 2m,,,,,
Censor,1h 24m,,,,,
Certified Copy,1h 46m,,,,,
Cette maison,1h 14m,,,,,
The Chambermaid,1h 42m,,,,,
Charcoal,1h 47m,,,,,
Charlatan,1h 58m,,,,,
Cheri,1h 30m,,,,,
Chi-raq,2h 6m,,,,,
The Child,1h 31m,,,,,
The Choir,1h 43m,,,,,
Chronic,1h 33m,,,,,
Cicada,1h 37m,,,,,
Cinema Paradiso,2h 35m,,,,,
Citizenfour,1h 53m,,,,,
Citizens Of The World,1h 32m,,,,,
City Of Ghosts,1h 32m,,,,,
The Civil Dead,1h 44m,,,,,
Claire's Knee,1h 45m,,,,,
The Clan,1h 44m,,,,,
Clara Sola,1h 46m,,,,,
Classic Jazz Shorts,1h 40m,,,,,
Clemency,1h 53m,,,,,
Cléo From 5 To 7,1h 30m,,,,,
Climate of the Hunter,1h 22m,,,,,
Climax,1h 37m,,,,,
Close,1h 44m,,,,,
Clouds Of Sils Maria,2h 4m,,,,,
Cobra Verde,1h 50m,,,,,
A Cock And Bull Story,1h 34m,,,,,
Cocoon,1h 39m,,,,,
Code Unknown,1h 57m,,,,,
Cold War,1h 24m,,,,,
Colette,1h 51m,,,,,
Collective,1h 49m,,,,,
La collectionneuse,1h 29m,,,,,
Color Out Of Space,1h 51m,,,,,
The Columnist,1h 26m,,,,,
The Commune,1h 51m,,,,,
Compartment No.6,1h 48m,,,,,
Concerned Citizen,1h 22m,,,,,
The Conformist,1h 48m,,,,,
The Connection,2h 10m,,,,,
The Consequences Of Love,1h 44m,,,,,
Copilot,1h 59m,,,,,
The Cordillera of Dreams,1h 25m,,,,,
Coriolanus,2h 3m,,,,,
Corridor Of Mirrors,1h 45m,,,,,
Corsage,1h 54m,,,,,
County Lines,1h 30m,,,,,
The County,1h 32m,,,,,
The Courier,1h 52m,,,,,
Cow,1h 34m,,,,,
Cowboys,1h 26m,,,,,
A Crack in the Mountain,1h 40m,,,,,
Crash,1h 40m,,,,,
Creature,1h 28m,,,,,
Crime And Punishment,1h 33m,,,,,
Crimes of the Future,1h 48m,,,,,
Crock Of Gold: A Few Rounds With Shane MacGowan,2h 4m,,,,,
Cunningham,1h 33m,,,,,
Custody,1h 30m,,,,,
Cutie and the Boxer,1h 22m,,,,,
Cycling With Molière,1h 44m,,,,,
Cyrano De Bergerac,2h 17m,,,,,
Driving Madeleine,1h 30m,,,,,
Dalíland,1h 36m,,,,,
The Damned Don't Cry,1h 52m,,,,,
Dancer in the Dark,2h 20m,,,,,
Dancing With Crime,1h 23m,,,,,
A Dangerous Method,1h 40m,,,,,
The Dance Of Reality,2h 13m,,,,,
Daphne,1h 24m,,,,,
Dark Journey,1h 17m,,,,,
Dark River,1h 28m,,,,,
Daughters Of The Dust,1h 52m,,,,,
The Day The Earth Caught Fire,1h 36m,,,,,
Days Of The Bagnold Summer,1h 26m,,,,,
Dear Comrades!,2h 0m,,,,,
The Death Of Louis Xiv,1h 55m,,,,,
Decision to Leave,2h 19m,,,,,
The Deep Blue Sea,1h 38m,,,,,
Deep Red,2h 7m,,,,,
Deerskin,1h 17m,,,,,
Destroyer,2h 1m,,,,,
"The Devil, Probably",1h 35m,,,,,
Dheepan,1h 50m,,,,,
Diamantino,1h 36m,,,,,
Diana Kennedy: Nothing Fancy,1h 12m,,,,,
The Diary Of A Teenage Girl,1h 40m,,,,,
Diego Maradona,1h 43m,,,,,
Dior And I,1h 30m,,,,,
Dirty Dancing,1h 43m,,,,,
Dirty God,1h 44m,,,,,
Disobedience,1h 54m,,,,,
Disorder,1h 36m,,,,,
"Distant Voices, Still Lives",1h 24m,,,,,
The Dive,1h 31m,,,,,
Dog Eat Dog,1h 31m,,,,,
Dogman,1h 38m,,,,,
Dogs Don't Wear Pants,1h 45m,,,,,
Dogville,2h 58m,,,,,
Donnie Darko,1h 53m,,,,,
The Dog Who Wouldn't Be Quiet,1h 13m,,,,,
The Double Life Of Veronique,1h 33m,,,,,
Dreaming Walls,1h 31m,,,,,
Drifting Clouds,1h 36m,,,,,
Drive,1h 40m,,,,,
Drive My Car,2h 59m,,,,,
The Driver,1h 30m,,,,,
The Drover's Wife: The Legend of Molly Johnson,1h 48m,,,,,
The Duke Of Burgundy,1h 45m,,,,,
Dumb Money,1h 44m,,,,,
Dune,2h 17m,,,,,
The Eagle Huntress,1h 28m,,,,,
Eastern,1h 18m,,,,,
Eastern Boys,2h 8m,,,,,
The Edge Of Love,1h 50m,,,,,
The Eight Mountains,2h 27m,,,,,
Electric Malady,1h 21m,,,,,
The Electrical Life of Louis Wain,1h 51m,,,,,
The Element of Crime,1h 44m,,,,,
The Elephant Man,2h 3m,,,,,
Elle,2h 8m,,,,,
Elles,1h 37m,,,,,
Ellie & Abbie (& Ellie's Dead Aunt),1h 20m,,,,,
Embrace Of The Serpent,2h 4m,,,,,
End Of The Century,1h 24m,,,,,
Endless Poetry,2h 4m,,,,,
Enemy,1h 30m,,,,,
The Enigma Of Kaspar Hauser,1h 50m,,,,,
Ennio,2h 36m,,,,,
Enys Men,1h 36m,,,,,
EO,1h 28m,,,,,
Epidemic,1h 42m,,,,,
Eric Ravilious: Drawn to War,1h 28m,,,,,
The Escape,1h 41m,,,,,
Escape From Mogadishu,2h 1m,,,,,
Escher: Journey Into Infinity,1h 20m,,,,,
Essential Killing,1h 25m,,,,,
Eternal Beauty,1h 35m,,,,,
Être Et Avoir,1h 44m,,,,,
Europa (1992),1h 54m,,,,,
Europa (2022),1h 12m,,,,,
The Europeans,1h 30m,,,,,
Every Thing Will Be Fine,1h 58m,,,,,
Everything Everywhere All at Once,2h 19m,,,,,
Everything Went Fine,1h 53m,,,,,
The Exception,1h 55m,,,,,
Ex Libris: The New York Public Library,3h 17m,,,,,
Exhibition,1h 28m,,,,,
EXHIBITION ON SCREEN: Hopper,1h 30m,,,,,
EXHIBITION ON SCREEN: Klimt & the Kiss,1h 30m,,,,,
EXHIBITION ON SCREEN: Mary Cassatt: Painting The Modern Woman,1h 34m,,,,,
EXHIBITION ON SCREEN: Tokyo Stories,1h 30m,,,,,
EXHIBITION ON SCREEN: Vermeer: The Greatest Exhibition,1h 33m,,,,,
Exit Through The Gift Shop,1h 24m,,,,,
The Exorcist,2h 3m,,,,,
Exotica,1h 43m,,,,,
Exposing Muybridge,1h 28m,,,,,
Eye of the Storm,1h 18m,,,,,
Fallen Leaves,1h 31m,,,,,
Faces Places,1h 29m,,,,,
Fadia’s Tree,1h 26m,,,,,
Fading Gigolo,1h 30m,,,,,
Fahrenheit 11/9,2h 8m,,,,,
Fall,1h 47m,,,,,
"Family Romance, Llc",1h 29m,,,,,
Family Viewing,1h 26m,,,,,
Fanny Lye Deliver'd,1h 52m,,,,,
Fanny And Alexander,3h 9m,,,,,
Fanny: The Other Mendelssohn,1h 33m,,,,,
A Fantastic Woman,1h 41m,,,,,
"Faraway, So Close!",2h 24m,,,,,
The Father,1h 36m,,,,,
Father Of My Children,1h 50m,,,,,
Faya Dayi,2h 0m,,,,,
The Feast,1h 33m,,,,,
Femme,1h 39m,,,,,
Ferrante Fever,1h 14m,,,,,
The Fever,1h 34m,,,,,
A Field In England,1h 30m,,,,,
Fighting With My Family,1h 47m,,,,,
Fill The Void,1h 30m,,,,,
Film Stars Don't Die In Liverpool,1h 41m,,,,,
Filth,1h 37m,,,,,
The Final Year,1h 29m,,,,,
Finding Vivian Maier,1h 23m,,,,,
Fire At Sea,1h 48m,,,,,
Fire Over England,1h 32m,,,,,
Fire Will Come,1h 25m,,,,,
The Fire Within,1h 44m,,,,,
The Firemen's Ball,1h 10m,,,,,
First Love,1h 48m,,,,,
The First Monday In May,1h 31m,,,,,
First Position,1h 35m,,,,,
Fish Tank,2h 3m,,,,,
Fitzcarraldo,2h 30m,,,,,
The Five Devils,1h 36m,,,,,
The Five Obstructions,1h 31m,,,,,
The Flavour Of Green Tea Over Rice,1h 56m,,,,,
Flee,1h 30m,,,,,
Florence Foster Jenkins,1h 48m,,,,,
The Florida Project,1h 47m,,,,,
Flux Gourmet,1h 51m,,,,,
Force Majeure,1h 59m,,,,,
A Forgotten Man,1h 28m,,,,,
Foxtrot,1h 48m,,,,,
Frances Ha,1h 24m,,,,,
Francofonia,1h 25m,,,,,
Frank,1h 35m,,,,,
Frankie,1h 40m,,,,,
Frantz,1h 54m,,,,,
Foxfire,2h 23m,,,,,
Freakscene: The Story of Dinosaur Jr.,1h 22m,,,,,
Free Chol Soo Lee,1h 26m,,,,,
Free Fire,1h 30m,,,,,
Free Men,1h 39m,,,,,
Free Money,1h 14m,,,,,
Fremont,1h 32m,,,,,
Frida Kahlo,1h 30m,,,,,
Frontier Blues,1h 35m,,,,,
Fruitvale Station,1h 25m,,,,,
Full Time,1h 28m,,,,,
Funny Games,1h 48m,,,,,
Funny Games (2007),1h 49m,,,,,
Funny Pages,1h 26m,,,,,
Futura,1h 45m,,,,,
Futuro Beach,1h 47m,,,,,
Girl (2023),1h 27m,,,,,
Give Me Pity!,1h 20m,,,,,
Golda,1h 40m,,,,,
The Great Escaper,1h 36m,,,,,
Gagarine,1h 35m,,,,,
The General,1h 19m,,,,,
Generation Wealth,1h 48m,,,,,
Ghost Stories,1h 36m,,,,,
Ghost World,1h 51m,,,,,
The Giants,1h 25m,,,,,
The Gift,1h 45m,,,,,
Gimme Danger,1h 49m,,,,,
Ginger & Rosa,1h 30m,,,,,
Girl (2019),1h 41m,,,,,
Girlhood,1h 53m,,,,,
Girls Girls Girls,1h 41m,,,,,
A Girl Walks Home Alone at Night,1h 41m,,,,,
The Girl With A Bracelet,1h 35m,,,,,
Gitarrmongot,1h 29m,,,,,
The Gleaners And I,1h 22m,,,,,
A Glitch In The Matrix,1h 48m,,,,,
Gloria Bell,1h 41m,,,,,
The Goalkeeper's Fear of the Penalty,1h 38m,,,,,
God's Country,1h 29m,,,,,
God's Creatures,1h 41m,,,,,
God's Own Country,1h 40m,,,,,
Godland,2h 23m,,,,,
"Good Luck to You, Leo Grande",1h 37m,,,,,
"Good Night, And Good Luck.",1h 33m,,,,,
Good Time,1h 42m,,,,,
Goodbye First Love,1h 50m,,,,,
Gorbaciof,1h 25m,,,,,
The Gospel According To André,1h 29m,,,,,
Grace Jones: Bloodlight And Bami,1h 55m,,,,,
The Graduate,1h 46m,,,,,
Graduation,2h 8m,,,,,
The Great Beauty,2h 22m,,,,,
Great Expectations,2h 8m,,,,,
Great Freedom,1h 57m,,,,,
The Great Movement,1h 25m,,,,,
Greek Pete,1h 15m,,,,,
The Green Prince,1h 41m,,,,,
Green Room,1h 33m,,,,,
Grizzly Man,1h 44m,,,,,
The Ground Beneath My Feet,1h 48m,,,,,
The Guardians,2h 9m,,,,,
Güeros,1h 47m,,,,,
Guest Of Honour,1h 45m,,,,,
The Guilty,1h 24m,,,,,
Gunda,1h 33m,,,,,
Gwen,1h 24m,,,,,
Hacksaw Ridge,2h 16m,,,,,
Hail Satan?,1h 35m,,,,,
Harmonium,2h 0m,,,,,
Hamlet Goes Business,1h 26m,,,,,
The Handmaiden,2h 25m,,,,,
Happening,1h 39m,,,,,
Happy As Lazzaro,2h 8m,,,,,
Happy End,1h 43m,,,,,
The Happy Prince,1h 40m,,,,,
Harka,1h 28m,,,,,
Heal The Living,1h 40m,,,,,
Heat And Dust,2h 13m,,,,,
Heathers,1h 43m,,,,,
Hell or High Water,1h 42m,,,,,
"Hello, Bookstore",1h 26m,,,,,
Helmut Newton: The Bad and the Beautiful,1h 29m,,,,,
Her Way,1h 47m,,,,,
Here Before,1h 23m,,,,,
Herself,1h 37m,,,,,
Hester Street,1h 29m,,,,,
Hidden,1h 53m,,,,,
Hide and Seek (Nascondino),1h 25m,,,,,
High Hopes,1h 52m,,,,,
High Life,1h 53m,,,,,
High Rise,1h 54m,,,,,
Hit the Road,1h 34m,,,,,
Hive,1h 24m,,,,,
Holy Motors,1h 55m,,,,,
Holy Spider,1h 58m,,,,,
Home From Home: Chronicle Of A Vision,3h 51m,,,,,
Homeward,1h 38m,,,,,
Honeyland,1h 25m,,,,,
Hoop Dreams,2h 55m,,,,,
Hope,2h 5m,,,,,
Hope Gap,1h 40m,,,,,
The Host,2h 0m,,,,,
The House Of Mirth,2h 20m,,,,,
The House That Jack Built,2h 26m,,,,,
How to Blow Up a Pipeline,1h 44m,,,,,
How to Build a Girl,1h 44m,,,,,
How to Have Sex,1h 31m,,,,,
Howards End,2h 20m,,,,,
"Humain, Trop Humain + Vive Le Tour",2h 27m,,,,,
Human Flow,2h 14m,,,,,
The Human Factor,1h 48m,,,,,
The Humans,1h 48m,,,,,
Hunt,2h 5m,,,,,
The Hunt,1h 50m,,,,,
Hunt For The Wilderpeople,1h 37m,,,,,
The Hunter,1h 40m,,,,,
The Hurt Locker,2h 8m,,,,,
Husband,1h 10m,,,,,
It's a Wonderful Life,2h 10m,,,,,
It Lives Inside,1h 39m,,,,,
Is There Anybody Out There? (Audio Description),1h 27m,,,,,
Is There Anybody Out There?,1h 27m,,,,,
I Am Divine,1h 30m,,,,,
I Am Not A Witch,1h 33m,,,,,
I Am Not Your Negro,1h 32m,,,,,
I Am Woman,1h 56m,,,,,
I Never Cry,1h 37m,,,,,
I Wish,2h 5m,,,,,
"I, Anna",1h 33m,,,,,
I'm Fine (Thanks For Asking),1h 26m,,,,,
I'm So Excited!,1h 30m,,,,,
I'm Your Man,1h 42m,,,,,
Ice And The Sky,1h 29m,,,,,
Ida,1h 20m,,,,,
The Idiots,1h 57m,,,,,
Il buco,1h 33m,,,,,
Il Divo,1h 53m,,,,,
Il Mio Corpo,1h 20m,,,,,
Il Postino,1h 48m,,,,,
Ilo Ilo,1h 39m,,,,,
The Imitation Game,1h 50m,,,,,
The Innocent,1h 35m,,,,,
The Innocents,1h 58m,,,,,
The Invisible Life Of Eurídice Gusmão,2h 19m,,,,,
In Between,1h 41m,,,,,
In Bloom,1h 42m,,,,,
In Fabric,1h 58m,,,,,
In Frame: Ruben Östlund,1h 30m,,,,,
In Frame: Wim Wenders,1h 31m,,,,,
In Front of Your Face,1h 25m,,,,,
In Our Name,1h 33m,,,,,
In The Fade,1h 46m,,,,,
In The Fog,2h 7m,,,,,
In Your Hands,1h 17m,,,,,
Infinite Football,1h 10m,,,,,
Inside Llewyn Davis,1h 44m,,,,,
Insyriated,1h 23m,,,,,
Involuntary,1h 33m,,,,,
Iona,1h 25m,,,,,
It Follows,1h 36m,,,,,
It Must Be Heaven,1h 42m,,,,,
It's Only The End Of The World,1h 39m,,,,,
Ivan's Childhood,1h 30m,,,,,
Ivul,1h 39m,,,,,
IWOW: I Walk on Water,3h 19m,,,,,
January,1h 50m,,,,,
Jazz on a Summer's Day,1h 25m,,,,,
Jacquot De Nantes,1h 53m,,,,,
Jean Vigo: Three Films,1h 23m,,,,,
Jeune Et Jolie,1h 35m,,,,,
Jeune Femme,1h 33m,,,,,
Jimi: All Is By My Side,1h 58m,,,,,
Joan Of Arc,2h 18m,,,,,
Joe,2h 4m,,,,,
John McEnroe: In The Realm Of Perfection,1h 35m,,,,,
John Wick: Chapter 3 - Parabellum,2h 8m,,,,,
John Wick: Chapter 4,2h 49m,,,,,
Journey's End,1h 43m,,,,,
Joyland,2h 7m,,,,,
Joyride,1h 34m,,,,,
Juha,1h 33m,,,,,
Julieta,1h 39m,,,,,
Jumbo,1h 33m,,,,,
Jupiter's Moon,12m,,,,,
Just Another Girl on the I.R.T.,1h 32m,,,,,
Just Like A Woman,1h 27m,,,,,
Justine,1h 22m,,,,,
Kaboom,1h 26m,,,,,
Katalin Varga,1h 25m,,,,,
Kate Plays Christine,1h 52m,,,,,
Keep The Lights On,1h 41m,,,,,
The Kid With A Bike,1h 27m,,,,,
Kill List,1h 32m,,,,,
The Killing Of A Sacred Deer,2h 0m,,,,,
The Killing of Two Lovers,1h 25m,,,,,
The Kingmaker,1h 41m,,,,,
Kings Of The Road,2h 48m,,,,,
Knives Out,2h 10m,,,,,
Kokomo City,1h 13m,,,,,
"Kumiko, The Treasure Hunter",1h 42m,,,,,
Kursk: The Last Mission,1h 57m,,,,,
The Lost Boys,1h 23m,,,,,
Love Life,2h 3m,,,,,
A Life on the Farm,1h 15m,,,,,
Lie With Me,1h 38m,,,,,
La Belle Epoque,1h 55m,,,,,
La Belle et la Bête,1h 33m,,,,,
La La Land,2h 8m,,,,,
La Maison De La Radio,1h 39m,,,,,
L'Amant Double,1h 48m,,,,,
L'Atalante,1h 25m,,,,,
"Lacombe, Lucien",2h 12m,,,,,
Lady Macbeth,1h 25m,,,,,
Lancelot du Lac,1h 25m,,,,,
Land And Freedom,1h 47m,,,,,
Land Of Silence And Darkness,1h 25m,,,,,
A Late Quartet,1h 45m,,,,,
La Pointe Courte,1h 16m,,,,,
La Strada,1h 48m,,,,,
La Vie En Rose,2h 20m,,,,,
La Vie De Boheme,1h 40m,,,,,
La Ville Louvre,1h 24m,,,,,
Law of Tehran,2h 14m,,,,,
Leonor Will Never Die,1h 39m,,,,,
Leaving to Remain,1h 32m,,,,,
Loving Vincent,1h 30m,,,,,
L'immensità,1h 39m,,,,,
Living,1h 42m,,,,,
Lunana: A Yak In The Classroom,1h 50m,,,,,
Lovetrue,1h 22m,,,,,
The Limehouse Golem,1h 44m,,,,,
The Look Of Silence,1h 38m,,,,,
The Left-Handed Woman,1h 59m,,,,,
Lisbon Story,1h 39m,,,,,
The Levelling,1h 23m,,,,,
Little Richard: I Am Everything,1h 41m,,,,,
The Long Day Closes,1h 25m,,,,,
"Lingui, the Sacred Bonds",1h 28m,,,,,
Lonesome Jim,1h 31m,,,,,
Little White Lies,2h 34m,,,,,
Leonard Cohen: I'm Your Man,1h 45m,,,,,
Lola and the Sea,1h 30m,,,,,
Little Men,1h 25m,,,,,
Loveless,2h 1m,,,,,
Liam Gallagher: As It Was,1h 25m,,,,,
Litigante,1h 33m,,,,,
Lou Reed's Berlin,1h 21m,,,,,
Lost In France,1h 40m,,,,,
Los Bastardos,1h 26m,,,,,
Leningrad Cowboys Meet Moses,1h 34m,,,,,
Leningrad Cowboys Go America,1h 15m,,,,,
Lights In The Dusk,1h 18m,,,,,
Love Is Strange,1h 32m,,,,,
La Haine,1h 36m,,,,,
Lady Boss: The Jackie Collins Story,1h 36m,,,,,
"L'une Chante, L'autre Pas",2h 1m,,,,,
Le Bonheur,1h 19m,,,,,
Le Havre,1h 33m,,,,,
Le Refuge,1h 28m,,,,,
Le Week-end,1h 33m,,,,,
Lean On Pete,1h 57m,,,,,
Leaning Into The Wind,1h 32m,,,,,
Leonardo: The Works,1h 42m,,,,,
Les Combattants,1h 38m,,,,,
Les Dames Du Bois De Boulogne,1h 23m,,,,,
Les Misérables,1h 44m,,,,,
Let The Sunshine In,1h 31m,,,,,
Leviathan,2h 20m,,,,,
Life Is Sweet,1h 43m,,,,,
Life Of Crime,1h 34m,,,,,
Lift to the Scaffold,1h 28m,,,,,
"Like Father, Like Son",1h 58m,,,,,
Lilting,1h 31m,,,,,
Lion's Den,2h 11m,,,,,
